Kunta;Asuntopoliittinen ohjelma
Alajärvi;Ei
Alavieska;
Alavus;Ei
Asikkala;Ei
Askola;Ei
Aura;Ei
Brändö;Ei mukana
Eckerö;Ei mukana
Enonkoski;
Enontekiö;Kyllä
Espoo;Kyllä
Eura;Kyllä
Eurajoki;Ei
Evijärvi;
Finström;Ei mukana
Forssa;
Föglö;Ei mukana
Geta;Ei mukana
Haapajärvi;Ei
Haapavesi;
Hailuoto;Ei
Halsua;Ei
Hamina;Ei
Hammarland;Ei mukana
Hankasalmi;Ei
Hanko;
Harjavalta;
Hartola;Ei
Hattula;Kyllä
Hausjärvi;Ei
Heinola;
Heinävesi;Ei
Helsinki;Kyllä
Hirvensalmi;
Hollola;
Huittinen;Kyllä
Humppila;Ei
Hyrynsalmi;Ei
Hyvinkää;Kyllä
Hämeenkyrö;Ei
Hämeenlinna;Kyllä
Ii;
Iisalmi;
Iitti;Kyllä
Ikaalinen;Ei
Ilmajoki;Kyllä
Ilomantsi;
Imatra;Kyllä
Inari;
Inkoo;Kyllä
Isojoki;
Isokyrö;Ei
Janakkala;
Joensuu;Kyllä
Jokioinen;
Jomala;Ei mukana
Joroinen;
Joutsa;
Juuka;
Juupajoki;
Juva;Kyllä
Jyväskylä;Ei
Jämijärvi;Ei
Jämsä;
Järvenpää;Kyllä
Kaarina;Kyllä
Kaavi;
Kajaani;Ei
Kalajoki;Kyllä
Kangasala;Yhteinen
Kangasniemi;Ei
Kankaanpää;Ei
Kannonkoski;
Kannus;Ei
Karijoki;
Karkkila;Ei
Karstula;Ei
Karvia;
Kaskinen;Ei
Kauhajoki;
Kauhava;Ei
Kauniainen;Kyllä
Kaustinen;Ei
Keitele;
Kemi;Ei
Kemijärvi;Ei
Keminmaa;
Kemiönsaari;Kyllä
Kempele;
Kerava;Kyllä
Keuruu;Ei
Kihniö;Ei
Kinnula;Ei
Kirkkonummi;
Kitee;
Kittilä;Ei
Kiuruvesi;Ei
Kivijärvi;
Kokemäki;
Kokkola;Kyllä
Kolari;
Konnevesi;Ei
Kontiolahti;Kyllä
Korsnäs;Ei
Koski Tl;
Kotka;
Kouvola;Kyllä
Kristiinankaupunki;
Kruunupyy;Ei
Kuhmo;
Kuhmoinen;Ei
Kumlinge;Ei mukana
Kuopio;Kyllä
Kuortane;
Kurikka;Ei
Kustavi;Ei
Kuusamo;Ei
Kyyjärvi;Ei
Kärkölä;Kyllä
Kärsämäki;
Kökar;Ei mukana
Lahti;Kyllä
Laihia;Ei
Laitila;
Lapinjärvi;
Lapinlahti;
Lappajärvi;
Lappeenranta;
Lapua;
Laukaa;Ei
Lemi;Ei
Lemland;Ei mukana
Lempäälä;Yhteinen
Leppävirta;Ei
Lestijärvi;Ei
Lieksa;Ei
Lieto;
Liminka;Kyllä
Liperi;Ei
Lohja;Ei voimassa
Loimaa;Kyllä
Loppi;
Loviisa;Vanha ohjelma
Luhanka;Ei
Lumijoki;
Lumparland;Ei mukana
Luoto;Kyllä
Luumäki;Ei
Maalahti;
Maarianhamina - Mariehamn;Ei mukana
Marttila;Ei
Masku;Ei
Merijärvi;
Merikarvia;
Miehikkälä;
Mikkeli;Kyllä
Muhos;Kyllä
Multia;
Muonio;
Mustasaari;Kyllä
Muurame;Ei
Mynämäki;Ei
Myrskylä;
Mäntsälä;Kyllä
Mänttä-Vilppula;Kyllä
Mäntyharju;Ei
Naantali;Kyllä
Nakkila;
Nivala;Kyllä
Nokia;Yhteinen
Nousiainen;Ei
Nurmes;
Nurmijärvi;Kyllä
Närpiö;
Orimattila;Kyllä
Oripää;
Orivesi;Yhteinen
Oulainen;Kyllä
Oulu;Kyllä
Outokumpu;Ei
Padasjoki;
Paimio;
Paltamo;Ei
Parainen;Yhteinen
Parikkala;Kyllä
Parkano;Ei
Pedersören kunta;
Pelkosenniemi;Kyllä
Pello;Ei
Perho;
Pertunmaa;Ei
Petäjävesi;Ei
Pieksämäki;
Pielavesi;Ei
Pietarsaari;Kyllä
Pihtipudas;
Pirkkala;Yhteinen
Polvijärvi;
Pomarkku;
Pori;Kyllä
Pornainen;Ei
Porvoo;Kyllä
Posio;
Pudasjärvi;
Pukkila;
Punkalaidun;Ei
Puolanka;
Puumala;Kyllä
Pyhtää;Ei
Pyhäjoki;Kyllä
Pyhäjärvi;
Pyhäntä;
Pyhäranta;Ei
Pälkäne;
Pöytyä;
Raahe;Ei
Raasepori;Ei
Raisio;Kyllä
Rantasalmi;
Ranua;Ei
Rauma;
Rautalampi;Ei
Rautavaara;Ei
Rautjärvi;
Reisjärvi;
Riihimäki;Kyllä
Ristijärvi;
Rovaniemi;Ei
Ruokolahti;Ei
Ruovesi;Ei
Rusko;Ei
Rääkkylä;
Saarijärvi;Ei
Salla;Kyllä
Salo;Kyllä
Saltvik;Ei mukana
Sastamala;Ei
Sauvo;Kyllä
Savitaipale;Ei
Savonlinna;Ei
Savukoski;
Seinäjoki;Kyllä
Sievi;Ei
Siikainen;Ei
Siikajoki;Ei
Siikalatva;Ei
Siilinjärvi;Ei
Simo;
Sipoo;Ei
Siuntio;Ei
Sodankylä;
Soini;
Somero;
Sonkajärvi;
Sotkamo;Ei
Sottunga;Ei mukana
Sulkava;
Sund;Ei mukana
Suomussalmi;
Suonenjoki;
Sysmä;Kyllä
Säkylä;
Taipalsaari;Ei
Taivalkoski;Ei
Taivassalo;
Tammela;Kyllä
Tampere;
Tervo;Ei
Tervola;Ei
Teuva;Ei
Tohmajärvi;Kyllä
Toholampi;Ei
Toivakka;Ei
Tornio;Ei
Turku;Kyllä
Tuusniemi;
Tuusula;Kyllä
Tyrnävä;Ei
Ulvila;Kyllä
Urjala;Ei
Utajärvi;
Utsjoki;
Uurainen;Ei
Uusikaarlepyy;Ei
Uusikaupunki;Ei
Vaala;
Vaasa;Kyllä
Valkeakoski;Ei
Vantaa;Kyllä
Varkaus;Ei
Vehmaa;
Vesanto;Ei
Vesilahti;Yhteinen
Veteli;
Vieremä;
Vihti;
Viitasaari;Ei
Vimpeli;
Virolahti;
Virrat;
Vårdö;Ei mukana
Vöyri;
Ylitornio;Ei
Ylivieska;
Ylöjärvi;Yhteinen
Ypäjä;
Ähtäri;
Äänekoski;Ei
